search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,engineering_skills,writing_skills,technical_programming_skills,language_translation_skills,finance_accounting_skills,management_skills,marketing_business_skills,performance_arts_skills,design_skills,teaching_training_skills,miscellaneous_skills,language_certifications,freelancer_certifications,general_skill_certifications,programming_certifications,top_skill_category,top_skill_category_encoded,top_skill_category_count
2,Ahmed,0,7185,0,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,writing_skills,5,2
2,Cindy,1,7432,1,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,9,1,0,0,0,6,0,1,0,1,0,0,0,0,writing_skills,5,9
2,Khadija,1,7527,4,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,writing_skills,5,1
2,Jeromy,0,5459,2,25,3.2,4.9,2,0,100.0,100.0,100.0,0,0,1,1,0,1,0,0,0,0,1,7,2,0,0,3,0,3,1,2,2,1,2,0,writing_skills,5,1
2,Joshua,0,6913,2,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,writing_skills,5,0
2,Tamzid,0,3432,4,8,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,1,5,5,2,0,0,3,2,5,1,0,1,0,0,0,writing_skills,5,5
2,Gabrielrón,1,7522,3,13,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,writing_skills,5,0
2,Caroline,1,7381,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,7,0,2,0,0,2,4,1,0,1,0,0,0,0,writing_skills,5,7
2,Virda,0,7498,2,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0,0,6,5,0,0,0,3,0,6,0,0,0,0,0,0,writing_skills,5,6
2,Jessie,1,7394,0,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,writing_skills,5,1
