search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,engineering_skills,writing_skills,technical_programming_skills,language_translation_skills,finance_accounting_skills,management_skills,marketing_business_skills,performance_arts_skills,design_skills,teaching_training_skills,miscellaneous_skills,language_certifications,freelancer_certifications,general_skill_certifications,programming_certifications,top_skill_category,top_skill_category_encoded,top_skill_category_count
2,Jesus,0,7557,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,marketing_business_skills,3,4
2,Dnard,0,7264,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,marketing_business_skills,3,9
2,Jacqueline,1,4508,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,1,0,0,0,0,marketing_business_skills,3,10
2,Tobios,0,7569,3,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,6,0,4,0,0,0,0,marketing_business_skills,3,6
2,Jon,0,7521,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,marketing_business_skills,3,1
2,Willis,0,7523,3,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,marketing_business_skills,3,5
2,Byron,0,6494,1,35,2.5,5.0,2,0,100.0,17.0,100.0,0,1,1,1,0,0,1,0,0,0,1,2,1,0,1,3,0,6,0,3,0,0,0,0,marketing_business_skills,3,3
2,Paul,0,7186,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,8,0,5,0,1,0,0,0,0,marketing_business_skills,3,8
2,Omar,0,7375,5,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,7,0,1,0,0,0,0,0,0,marketing_business_skills,3,7
2,Talyn,0,7435,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,marketing_business_skills,3,3
2,Jarrett,0,7461,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,12,0,2,0,0,0,0,0,0,marketing_business_skills,3,12
2,Agnieszka,1,5492,1,14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,3,0,2,0,2,0,0,0,0,marketing_business_skills,3,3
2,Jacob,0,6861,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,marketing_business_skills,3,1
2,Caleb,0,7548,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,2,3,0,0,0,4,0,3,0,1,0,0,0,0,marketing_business_skills,3,4
