search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,engineering_skills,writing_skills,technical_programming_skills,language_translation_skills,finance_accounting_skills,management_skills,marketing_business_skills,performance_arts_skills,design_skills,teaching_training_skills,miscellaneous_skills,language_certifications,freelancer_certifications,general_skill_certifications,programming_certifications,top_skill_category,top_skill_category_encoded,top_skill_category_count
2,Robert,0,3238,1,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,1,0,0,technical_programming_skills,4,9
2,Katrin,1,6647,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,5,0,2,0,0,0,0,0,0,technical_programming_skills,4,12
2,Carson,0,4417,3,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0,0,technical_programming_skills,4,13
2,Eliran,0,5229,1,150,4.0,5.0,10,1,100.0,100.0,100.0,0,1,0,1,0,0,0,0,0,0,0,13,0,0,0,1,0,6,0,0,1,0,0,0,technical_programming_skills,4,13
2,Michael,0,2672,2,65,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,2,2,8,1,1,1,1,0,1,1,2,0,0,0,0,technical_programming_skills,4,8
2,Shari,1,6265,2,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,0,3,0,6,0,0,0,0,0,0,technical_programming_skills,4,6
2,Chasity,1,7399,0,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,6,0,1,0,4,0,3,0,1,0,0,0,0,technical_programming_skills,4,6
2,David,0,6535,4,25,1.6,5.0,2,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,1,9,1,0,0,2,0,7,0,0,0,0,0,0,technical_programming_skills,4,9
2,Christopher,0,5148,1,14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,10,5,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,10
2,Terri,1,4815,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,5,10,1,1,0,8,0,10,0,3,1,0,1,0,technical_programming_skills,4,10
2,Luan,0,4402,2,40,3.2,5.0,2,0,100.0,100.0,100.0,0,0,0,1,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,1,0,0,0,0,technical_programming_skills,4,10
2,Maria,1,6962,0,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,1,0,8,0,0,0,0,0,0,technical_programming_skills,4,11
2,Waggaa,0,7437,3,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,technical_programming_skills,4,18
2,David,0,4819,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,3,0,4,0,0,0,0,0,0,technical_programming_skills,4,7
2,Jaredchell,0,7039,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,technical_programming_skills,4,3
2,Syedhdita,0,7513,1,45,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,8,82,0,0,0,32,5,50,0,0,1,1,0,0,technical_programming_skills,4,82
2,Maria,1,7409,5,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,12,2,0,0,4,0,2,0,0,0,0,0,0,technical_programming_skills,4,12
2,Dalton,0,7315,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,15
2,"['Victor', 'Hugo']",0,7441,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,1
2,Ali,0,7474,0,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,technical_programming_skills,4,5
2,Giovanni,0,7278,4,20,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,technical_programming_skills,4,3
2,Alfredo,0,4511,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,3,0,0,0,0,0,0,technical_programming_skills,4,10
2,Sarah,1,7350,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2,0,7,3,0,1,2,0,0,1,2,0,0,0,0,technical_programming_skills,4,7
2,Ehsan,0,6294,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,1,0,7,0,0,0,0,0,0,technical_programming_skills,4,10
2,James,0,3538,1,100,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,1,0,2,0,0,0,0,0,0,technical_programming_skills,4,3
2,Alonso,0,5062,2,12,4.1,4.8,14,1,94.0,100.0,97.0,0,1,1,1,0,0,0,0,0,1,0,6,2,0,0,0,0,3,0,3,1,0,1,0,technical_programming_skills,4,6
2,Hassan,0,5675,4,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,15,0,0,0,3,0,1,0,0,0,0,0,0,technical_programming_skills,4,15
2,Peiman,0,4701,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,technical_programming_skills,4,6
2,Kamal,0,2395,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,6,0,7,0,0,0,1,0,1,0,3,0,0,0,0,technical_programming_skills,4,7
2,Sally,1,7108,5,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,2,0,1,0,0,0,0,0,0,technical_programming_skills,4,17
2,Samu,0,5988,2,22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,0,0,0,0,0,technical_programming_skills,4,14
2,Milad,0,6682,5,24,1.2,5.0,2,0,100.0,75.0,75.0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,0,0,0,3,0,1,0,0,0,0,technical_programming_skills,4,16
2,Melvin,0,7541,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,technical_programming_skills,4,11
2,Prash,0,6637,0,90,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,technical_programming_skills,4,12
2,Christopher,0,2534,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,0,5,0,0,0,0,0,0,technical_programming_skills,4,11
2,Luis,0,1510,2,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,5,5,0,0,1,0,4,0,1,1,0,1,0,technical_programming_skills,4,5
2,Joanner,0,5281,2,7,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,technical_programming_skills,4,4
2,Programmatis,1,6138,1,500,9.2,5.0,55,468,100.0,100.0,100.0,1,1,1,1,0,1,1,1,1,0,0,24,1,0,0,5,0,2,0,0,2,1,0,0,technical_programming_skills,4,24
2,William,0,7569,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,1
2,Marcos,0,4817,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,6,7,1,0,0,3,0,1,0,1,0,0,0,0,technical_programming_skills,4,7
2,Lifeng,0,5744,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,technical_programming_skills,4,6
2,Justin,0,4624,4,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,9,0,0,0,3,0,8,0,0,0,0,0,0,technical_programming_skills,4,9
2,Adam,0,4432,1,35,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,technical_programming_skills,4,6
2,Bao,0,6012,4,2,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,technical_programming_skills,4,15
2,Arash,0,7341,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,technical_programming_skills,4,17
2,Donovannrad,1,5547,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,4,7,0,0,0,4,0,1,0,2,3,0,0,0,technical_programming_skills,4,7
